mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6188722133636475,0.050633819689697254,0.01951465606689453,0.0016312239884648853,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",-0.47642017776561724,-0.5547057917895274,-0.5253394041217442,-0.5016803201998817,-0.5459531457615197,-0.520819767927658,0.02876810202886242,35
1.3694525241851807,0.05723003575081738,0.03605875968933105,0.0027009291960730527,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",-0.47624657299746914,-0.5570351769019172,-0.5254299497785324,-0.4989984374874285,-0.5464679697335892,-0.5208356213797873,0.029844861505979006,36
2.5713561534881593,0.0899570431799655,0.07751283645629883,0.013701549437349124,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",-0.4779272138130667,-0.5560295282058695,-0.5253210932353913,-0.4975483843033363,-0.5460411457524738,-0.5205734730620275,0.029247674219385653,30
0.6522664546966552,0.01739375421024835,0.019815921783447266,0.0024876226378939843,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",-0.4763002197878353,-0.554274495795058,-0.525507027257537,-0.5022704836598124,-0.5454893037903129,-0.5207683060581111,0.0285511053663055,34
1.5162087440490724,0.11308087108911778,0.04955868721008301,0.008794402941729194,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",-0.4760798012690185,-0.5566816316621439,-0.5255725023233739,-0.49930180964322024,-0.5461621838833828,-0.5207595857562278,0.02971723014380115,33
2.904974174499512,0.14326139965713616,0.07023024559020996,0.006419086638011124,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",-0.4776305386485793,-0.5559975356381808,-0.5254074929630305,-0.49773112754375304,-0.5458573216928453,-0.5205248032972778,0.02926896472536248,29
0.7032316207885743,0.06782072659795582,0.019670724868774414,0.0026780720660023053,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",-0.47642375923394437,-0.5543467073882357,-0.5244471714174228,-0.5011790784443274,-0.545855838218345,-0.520450510940455,0.02870574527501747,28
1.28431396484375,0.04887333383746697,0.03468966484069824,0.0031508804949539997,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",-0.4764500251309693,-0.5572903774671857,-0.5248907975703024,-0.49873633368870596,-0.5461914106978383,-0.5207117889110003,0.029821779778154946,32
2.632158660888672,0.07600280754590609,0.07790594100952149,0.006112451288350459,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",-0.4778700159620531,-0.5565178247307101,-0.5251201793615189,-0.49765619021001367,-0.5458469612668744,-0.520602234306234,0.029326442425425606,31
1.160399866104126,0.02555323803946666,0.022395944595336913,0.0011189089190761885,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",-0.45717727189171,-0.5258126123092239,-0.4942254525210592,-0.47121660022373185,-0.5166206041037094,-0.4930105082098869,0.026053352956891335,27
2.360612916946411,0.06491300366133526,0.043711280822753905,0.0021930712371264235,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",-0.45688692554055493,-0.5199400061725359,-0.4922233671881275,-0.4717425848244663,-0.5170911782354136,-0.4915768123922197,0.024708931550736675,22
4.788290786743164,0.15474282438530315,0.08486294746398926,0.006871902409443017,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",-0.45350682506923096,-0.517674262717662,-0.48889300750601783,-0.4662318498015911,-0.5115741052465888,-0.48757601006821816,0.02489911810074299,8
1.1531711578369142,0.024145155690521357,0.02119278907775879,0.0013156603695701496,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",-0.45872794831899644,-0.5268899786379408,-0.4942093501111138,-0.4686497017222411,-0.5151163874860178,-0.49271867325526203,0.026100737936532403,26
2.352836179733276,0.06345358783647202,0.04515352249145508,0.004643603218416793,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",-0.45685372624706316,-0.5223922009311056,-0.4907168886845551,-0.46951182528861385,-0.5160652765076121,-0.4911079835317899,0.025461617698570384,19
5.026115417480469,0.27415249288303817,0.08518848419189454,0.005183478135780448,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",-0.45383727350185754,-0.5208826656830965,-0.48915813023483934,-0.4632283553630532,-0.5106509892358313,-0.4875514828037355,0.02598229667623023,7
1.2450647830963135,0.10902790983185351,0.025336694717407227,0.004640435492633316,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",-0.4623754336881465,-0.5266715718528652,-0.4923264313512325,-0.4667528695747433,-0.5124502306188595,-0.4921153074171694,0.02504157514779394,25
2.4386588096618653,0.16410876066471386,0.04454879760742188,0.004167997394767183,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",-0.458530336601564,-0.5250153561765938,-0.49016806804088076,-0.4680644297453882,-0.514299046653155,-0.4912154474435163,0.025615110687476683,21
