mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.74178147315979,0.0448997004464616,0.029425716400146483,0.0029188909567966466,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,,,1
1.4132290363311768,0.09895540322869281,0.04721336364746094,0.005713008016208422,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,1
2.7408254146575928,0.1567483382537936,0.07466444969177247,0.003515255003582864,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,,,1
0.7037957191467286,0.05701335089940528,0.02174348831176758,0.0017557493850773062,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,,,1
1.3330224990844726,0.05692260280177188,0.04077081680297852,0.005074686637309623,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,,,1
2.740782690048218,0.22548480399357207,0.08742942810058593,0.019296508872399164,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,,,1
0.7559030055999756,0.042740397008906555,0.026929616928100586,0.008321654469397286,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,,,1
1.5175169467926026,0.13749243387895613,0.04998059272766113,0.011495070945946916,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,1
2.712812328338623,0.1747275328841268,0.07633414268493652,0.0050323977684513296,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,1
1.2508349418640137,0.07194110444828654,0.025662851333618165,0.0029156154887841667,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,,,1
2.414391803741455,0.09841711490908794,0.05388193130493164,0.010891263859031686,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,1
6.114866304397583,0.12771173454597237,0.1286785125732422,0.007947498025703546,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,,,1
1.4275722980499268,0.08712380590369716,0.03204216957092285,0.006380853445131005,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,,,1
3.4488861083984377,0.11864315461174568,0.08207859992980956,0.025088776137655835,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,,,1
6.161549139022827,0.22928466396133085,0.1021543025970459,0.009072189719055547,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,,,1
1.4212539672851563,0.12188065874231403,0.044185447692871097,0.019105585429683745,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,,,1
2.6382866859436036,0.10951632221405556,0.05089526176452637,0.007098666882505763,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,1
5.306894016265869,0.14118115988279822,0.1305454730987549,0.0304638182205916,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,1
1.6789464473724365,0.05043478591753952,0.0319941520690918,0.0017878119639479079,15,2,50,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,,,1
3.3137081623077393,0.1115963877289211,0.061333227157592776,0.008325307790107492,15,2,100,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,1
6.151975631713867,0.13179139354055214,0.09834117889404297,0.003559754794494132,15,2,200,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,,,1
1.488189935684204,0.03193130034896268,0.028910398483276367,0.002196333918625178,15,5,50,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,,,1
2.992418336868286,0.0714372269498686,0.05178670883178711,0.002623654794139719,15,5,100,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,,,1
5.935598564147949,0.12971861821891048,0.09835023880004883,0.003735329916187557,15,5,200,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,,,1
1.3864158630371093,0.020156490025878847,0.02794060707092285,0.0016202907733445934,15,10,50,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,,,1
2.81884765625,0.0658417961621879,0.04779829978942871,0.002369926481936405,15,10,100,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,1
5.63815131187439,0.072765742822966,0.09365439414978027,0.0037441669525930697,15,10,200,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,1
1.5474656581878663,0.022389333123494413,0.02713766098022461,0.0019074978329000805,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,,,1
3.1126447677612306,0.07233579917143311,0.05495262145996094,0.008118540824593203,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,1
6.28957896232605,0.14545640663008108,0.1050635814666748,0.005008282335993722,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,,,1
1.5169828891754151,0.02606649579148278,0.02856292724609375,0.004594050827752245,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,,,1
